pl_name,pl_orbsmax,pl_rade,pl_orbeccen,pl_insol,st_teff,st_rad,st_mass,st_lum,sy_dist,sy_snum,sy_pnum,disc_year
Kepler-633 b,,1.63,,,5899.0,1.15,1.02,,680.54,1,2,2016
WASP-154 b,0.044,10.76062147,0.0,162.0,4774.0,0.823,0.8,,215.501,1,1,2025
gam Lib b,1.319,,0.16,,4879.0,12.38,1.78,1.8973,47.4017,1,2,2018
HD 114783 c,5.0,,0.05,,,,0.9,,21.0628,1,2,2018
HD 170469 b,2.24,,0.11,,5842.0,1.24,1.1,,60.178,2,1,2007
K2-173 b,,1.60826194,,,5580.0,0.843154,0.881538,,228.641,1,1,2018
Kepler-950 b,,8.98,,,5857.0,1.02,1.02,,2161.6,1,1,2016
Kepler-1081 b,,1.01,,,5345.0,0.84,0.88,,420.215,1,1,2016
Kepler-171 c,0.098,2.56,,,5642.0,0.839,,,863.855,1,3,2014
HD 126614 b,2.249,,0.548,,,,0.96,,73.0961,3,1,2009
ome Ser b,0.838,,0.18,,4724.0,10.99,1.01,1.73384,76.7556,2,1,2013
Kepler-290 d,0.0154,0.86,0.0,1503.79,5142.0,0.755,0.84,,694.627,1,3,2023
TOI-813 b,0.423,6.71,0.0,23.1,5907.0,1.94,1.32,,263.145,1,1,2020
K2-175 b,,2.03803688,,,5909.0,1.420038,1.094693,,247.266,1,1,2018
TOI-1136 e,,,0.0425,,5770.0,0.968,1.022,,84.5362,1,6,2022
Kepler-1125 b,,1.84,,,5683.0,0.94,0.95,,2011.41,1,1,2016
Kepler-1766 b,,2.27904508,,,5868.0,1.042,0.915,,501.229,1,1,2021
Teegarden's Star b,0.0259,,0.03,1.08,3034.0,0.12,0.097,-3.14146,3.83078,1,3,2019
LHS 3844 b,0.00622,1.303,,70.1,3036.0,0.189,0.151,-2.56543,14.8846,1,1,2019
Kepler-1145 b,,1.4,,,5064.0,0.75,0.79,,691.961,1,1,2016
K2-32 b,0.0795,5.299,0.03,,5271.0,0.86,0.83,,157.682,2,4,2016
Kepler-1315 b,,1.38,,,4861.0,0.75,0.8,,480.869,1,2,2016
HD 8535 b,2.45,,0.15,,6136.0,1.19,1.13,,55.4401,2,1,2010
Kepler-330 c,0.116,1.95,,,5117.0,0.722,,,717.527,1,2,2014
K2-45 b,0.0224,6.71,,100.0,4103.0,0.445,0.503,,495.317,1,1,2016
GJ 667 C b,,,0.2,,,,,,7.24396,3,5,2012
Kepler-1236 b,,2.14,,,5337.0,0.82,0.86,,999.64,1,1,2016
TOI-1807 b,0.0122,1.49681583,0.0,,4914.0,0.746,0.8048,-0.53313,42.5775,1,1,2021
OGLE-2018-BLG-0532L b,1.064,,,,,,0.195,,773.0,1,1,2020
Kepler-21 b,0.0434,1.639,0.0,2749.0,6305.0,1.902,1.408,,108.522,2,1,2012
HD 179949 b,0.0443,,0.022,,6168.0,,1.21,,27.4573,1,1,2000
Kepler-558 b,,2.37,,,5242.0,0.81,0.85,,661.876,1,1,2016
TOI-5005 b,0.06614,6.25,,226.0,5749.0,0.93,0.97,,207.891,1,1,2024
HD 20781 d,0.1647,,0.11,,5256.0,,0.7,-0.3098,35.9715,2,5,2019
K2-133 d,0.07487,2.003,,,3655.0,0.455,0.461,-1.47886,75.1703,1,4,2017
Kepler-1963 b,,0.74437023,,,5726.0,0.979,0.915,,492.847,1,1,2021
Kepler-947 b,,2.28,,,5508.0,0.87,0.9,,1730.78,1,1,2016
Kepler-1417 b,,1.0,,,5839.0,1.02,1.02,,991.845,1,1,2016
HD 129445 b,2.9,,0.7,,,,0.99,,67.4386,1,1,2009
KMT-2016-BLG-2321L b,3.58,,,,,,0.73,,3580.0,1,1,2024
K2-32 c,0.13843,3.134,0.049,,5271.0,0.86,0.83,,157.682,2,4,2016
HD 204313 e,7.457,,0.253,,,,1.03,,47.7945,1,3,2022
EPIC 201497682 b,,0.692,,,,,0.78,,253.026,1,1,2019
Kepler-380 b,0.05,1.19,,,6045.0,1.224,,,813.713,1,2,2014
Kepler-758 b,,2.48,,,6228.0,1.42,1.16,,1502.32,1,4,2016
K2-219 d,,2.57634456,,,5753.0,1.189232,1.021545,,325.4,1,3,2018
Kepler-286 d,0.061,1.33,,,5580.0,0.863,,,1226.85,1,4,2014
HD 216437 b,2.57,,0.31,,,,1.22,,26.6902,1,1,2002
OGLE-2017-BLG-1375L b,3.04,,,,,,0.81,,3930.0,1,1,2020
HD 25015 b,6.248,,0.341,,,,0.86,,37.433,1,1,2019
HD 180314 b,1.448,,0.247,,4917.0,9.2,2.6,1.64345,122.362,1,1,2010
WASP-47 e,,1.83,0.0,,,1.156,1.058,,264.78,1,4,2015
Kepler-1541 b,,1.16,,,5282.0,0.81,0.86,,416.692,1,1,2016
Kepler-228 d,0.101,4.04,,,6043.0,1.014,,,1644.61,1,3,2014
NGTS-15 b,0.0441,12.32987877,0.0,425.0,5600.0,0.954,0.995,,786.485,1,1,2021
Kepler-750 c,,1.62,,,6160.0,1.23,1.15,,1296.02,1,2,2016
Kepler-1684 b,,2.87084792,,,4706.54,0.666755,0.75,-0.70657,621.996,1,1,2020
Kepler-1917 b,,1.88971288,,,5530.0,0.788,0.882,,909.037,1,1,2021
GJ 3998 c,0.09,,0.0,5.4,3726.0,0.5,0.52,-1.358,18.1459,1,3,2016
HD 20794 d,0.3625,,0.077,,5368.0,0.93,0.79,-0.16311,6.00278,1,4,2011
Kepler-124 d,0.17,1.11,,,4984.0,0.636,,,420.046,1,3,2014
CoRoT-19 b,0.0518,14.46,0.047,,6090.0,1.65,1.21,0.544,790.663,1,1,2011
Kepler-1068 b,,3.63,,,5806.0,1.01,1.01,,1473.61,1,1,2016
Kepler-1697 b,,1.25954761,,,4681.53,0.772344,0.747,-0.58813,247.771,1,1,2020
Kepler-1410 b,,1.78,,,4092.0,0.6,0.63,,,1,1,2016
K2-397 b,,2.417,,,5387.0,0.966,0.937,,199.354,1,1,2022
Kepler-1354 b,,2.97,,,6168.0,1.24,1.16,,1119.45,1,1,2016
KELT-17 b,0.04881,17.093725,,,7454.0,1.645,1.635,0.87564,226.5,1,1,2016
Kepler-485 b,,14.41,,,5958.0,1.09,1.07,,1140.95,1,1,2016
Kepler-681 b,,3.08,,,5021.0,0.76,0.8,,686.923,1,1,2016
Kepler-632 b,,2.21,,,5322.0,0.84,0.91,,,1,1,2016
Kepler-218 b,0.046,1.48,,,5502.0,1.063,,,656.38,1,3,2014
Kepler-1777 b,,2.13189678,,,5771.0,1.068,0.984,,619.146,1,1,2021
TOI-1260 b,0.0367,2.41,0.0,95.58,4227.0,0.672,0.679,-0.88941,73.5977,1,3,2021
Kepler-1578 b,,1.04,,,5545.0,0.86,0.9,,1064.05,1,1,2016
Kepler-151 c,0.16,2.09,,,5460.0,0.83,,,649.919,1,2,2014
Kepler-565 b,,3.64,,,5735.0,0.95,0.98,,,1,1,2016
Kepler-216 b,0.079,2.35,,,6091.0,1.26,,,1187.47,1,2,2014
Kepler-647 c,,4.00135002,,,5906.74,1.54571,1.07,0.41834,1087.87,1,2,2020
Kepler-703 b,,8.2,,,6185.0,1.27,1.18,,1156.83,1,1,2016
HAT-P-7 b,,16.92559,0.0,,6389.0,2.0,1.56,,341.079,2,1,2008
OGLE-2012-BLG-0724L b,1.6,,,,,,0.29,,6700.0,1,1,2016
75 Cet b,1.912,,0.093,,4809.0,10.38,1.92,1.7145,82.9613,2,2,2012
Kepler-542 b,,1.57,,,5526.0,0.9,0.93,,436.016,1,1,2016
KMT-2017-BLG-1003L b,1.38,,,,,,0.32,,7090.0,1,1,2023
KMT-2023-BLG-1431L b,3.2,,,,,,0.57,,6800.0,1,1,2024
Kepler-900 b,,2.08,,,4836.0,0.73,0.78,,487.525,1,1,2016
Kepler-1322 c,,2.15492527,,,5704.0,0.804,0.897,,1350.32,1,2,2021
HD 16141 b,0.36,,0.25,,5757.0,1.48,1.11,,37.7861,2,1,2000
HD 15906 b,0.09,2.24,0.11,33.14,4757.0,0.762,0.79,-0.56864,45.5621,1,2,2023
K2-107 b,0.0475,15.98,,,6061.0,1.81,1.3,,685.2,1,1,2017
Kepler-935 b,,1.35,,,4830.0,0.73,0.78,,471.782,1,1,2016
Kepler-1413 b,,1.82,,,5196.0,0.8,0.84,,1167.49,1,1,2016
Kepler-290 c,0.205,2.7,,,5147.0,0.743,,,694.627,1,3,2014
Kepler-1779 b,,3.03295685,,,5730.0,1.056,1.008,,908.501,1,1,2021
Kepler-1210 b,,1.7,,,5568.0,0.92,0.94,,1176.53,1,1,2016
Kepler-1304 b,,2.29,,,5259.0,0.81,0.85,,2176.08,1,1,2016
Kepler-1667 b,,2.98385261,,,5941.54,1.08751,1.09,0.12316,626.819,1,1,2020
GJ 251 b,0.0818,,0.1,2.53,3451.0,0.364,0.36,-1.77211,5.58057,1,1,2020
Kepler-157 d,,1.46,,,5866.0,1.03,1.02,,773.713,1,3,2016
BD+45 564 b,0.83,,0.12,,5004.0,,0.81,,53.622,1,1,2021
Qatar-5 b,0.04127,12.408363,0.0,669.0,5747.0,1.076,1.128,0.05614,367.658,1,1,2017
EPIC 206317286 c,,2.094,,,4752.0,0.758,0.832,,314.35,1,2,2022
GJ 4276 b,0.082,,0.37,,3387.0,0.407,0.406,-1.70553,21.3362,1,1,2019
Kepler-925 b,,2.34,,,4673.0,0.72,0.77,,611.115,1,1,2016
Kepler-835 b,,2.79,,,5954.0,1.11,1.08,,2406.33,1,1,2016
K2-180 b,0.0756,2.46597575,0.075,,5365.0,0.719,0.735,-0.41341,203.896,1,1,2018
YSES 2 b,115.0,,,,4749.0,1.193,1.1,-0.1854,109.406,1,1,2021
Kepler-894 b,,2.78,,,5603.0,0.85,0.87,,1162.91,1,1,2016
8 UMi b,0.49,,0.06,,4847.0,10.3,1.44,,162.552,1,1,2015
Kepler-417 b,,2.31,,,,0.806,0.9,,973.989,1,2,2014
K2-35 b,0.031,1.32,0.13,211.0,4402.71,0.619575,0.701968,,252.596,1,2,2016
TOI-5713 b,0.06008,1.77,0.24,2.2554,3225.0,0.2992,0.2653,-2.05849,40.8668,1,1,2024
OGLE-2012-BLG-0563L b,0.74,,,,,,0.34,,1300.0,1,1,2015
K2-118 b,0.245,2.54,0.2,4.3,4726.29,0.734626,0.756446,,321.722,1,1,2017
Kepler-881 b,,1.78,,,5961.0,1.09,1.06,,1375.18,1,1,2016
HD 33283 b,0.1508,,0.399,,5935.0,1.97,1.38,0.64,89.8623,2,1,2006
Kepler-454 c,1.287,,0.0053,,5687.0,1.066,1.03,,230.869,2,3,2015
TOI-431 b,0.0113,1.28,0.0,,4850.0,0.731,0.78,,32.5686,1,3,2021
GJ 849 c,4.95,,0.092,,3467.0,0.45,0.45,-1.59,8.80058,1,2,2014
WASP-59 b,0.0697,8.687,0.1,,4650.0,0.613,0.719,,115.936,1,1,2012
KOI-351 d,0.32,2.87,,,6080.0,1.2,1.2,,848.254,1,8,2013
HD 216435 b,2.56,,0.07,,5999.0,,1.3,,32.9834,1,1,2002
Kepler-880 b,,2.66,,,6761.0,1.74,1.46,,601.324,1,2,2016
Kepler-505 b,,2.6,,,3931.0,0.53,0.55,,283.41,1,1,2016
Kepler-286 e,0.176,1.77,,,5580.0,0.863,,,1226.85,1,4,2014
TOI-6383 A b,0.02292,11.29,0.05,51.3,3444.0,0.457,0.458,-1.48678,171.319,2,1,2024
Kepler-415 c,,,,,,0.643,0.67,,530.487,1,2,2014
HIP 35965 b,15.898,,0.138,,,,0.78,,50.1677,1,1,2022
K2-43 b,,4.51,,,3840.6,0.542,0.571,,182.536,1,2,2016
Kepler-466 b,,2.85,,,5927.0,1.05,1.04,,530.122,1,2,2016
Kepler-62 b,0.0553,1.31,,,4925.0,0.64,0.69,-0.678,300.874,1,5,2013
TOI-4600 c,1.152,9.42,0.21,,5170.0,0.81,0.89,-0.37675,216.056,1,2,2023
COCONUTS-2 b,,12.44196858,,,3406.0,0.388,0.37,-1.732,10.8864,1,1,2021
K2-382 b,,2.072,,,5452.0,0.811,0.922,,278.412,1,1,2022
Kepler-582 b,,3.68,,,5564.0,0.91,0.93,,613.179,1,1,2016
Kepler-466 c,,1.25,,,5927.0,1.05,1.04,,530.122,1,2,2016
K2-258 b,0.149,3.0,,,6351.0,1.31,1.21,,661.873,1,1,2018
HD 93351 b,0.035,,0.549,,,,0.94,,56.163,1,2,2022
K2-98 b,0.0986,5.06645928,0.119,,6260.0,1.518,1.246,0.50379,518.625,1,1,2016
HD 224538 b,2.375,,0.476,,,,1.23,,79.0608,1,1,2016
K2-290 c,0.305,11.276254,0.0,,6302.0,1.511,1.194,,272.909,3,2,2019
K2-358 b,0.0863,2.68,,,5650.0,0.91,0.93,,480.307,1,1,2021
Kepler-405 c,0.188,4.66,,,5818.0,0.893,,,1065.08,1,2,2014
HATS-60 b,0.04708,12.923977,0.191,903.9,5688.0,1.46,1.097,0.30016,486.474,1,1,2018
Kepler-295 b,0.099,1.22,,,5603.0,0.898,,,1699.19,1,3,2014
K2-233 c,0.06666,1.281,0.2002,,5033.0,0.71,0.79,,67.5062,1,3,2018
Kepler-266 b,0.071,2.48,,,5885.0,1.028,,,1370.79,1,2,2014
Kepler-295 d,0.192,1.36,,,5603.0,0.898,,,1699.19,1,3,2014
HD 106315 b,0.0907,2.44,0.093,,6327.0,1.296,1.091,,109.353,1,2,2017
OGLE-2007-BLG-349L AB c,2.59,,,,,,0.41,,2760.0,2,1,2016
Kepler-899 b,,2.68,,,5595.0,0.91,0.93,,1246.43,1,1,2016
K2-326 b,0.0198,2.28,,,3924.0,0.688,0.507,,282.308,1,1,2020
Kepler-1119 b,,1.92,,,6083.0,1.17,1.11,,1757.23,1,1,2016
HATS-76 b,0.02658,12.09449018,0.062,129.8,4016.0,0.6259,0.662,-1.0381,385.689,1,1,2021
Kepler-1231 b,,1.42,,,5778.0,1.0,1.01,,987.237,1,1,2016
OGLE-2018-BLG-0740L b,5.0,,0.0,,5912.0,,1.0,,3200.0,1,1,2019
Kepler-1600 b,,3.13,,,5214.0,0.82,0.86,,1030.81,1,2,2016
KMT-2021-BLG-0119L b,2.92,,,,,,0.56,,3130.0,1,1,2022
Kepler-316 b,0.027,1.06,,,4204.0,0.52,,,384.938,1,2,2014
HD 7449 b,2.438,,0.752,,,,1.196,,38.662,2,1,2011
Kepler-55 b,,2.43,,,4362.0,0.58,0.62,,578.796,1,5,2012
WASP-55 b,,14.90797,0.0,,5900.0,1.09,1.11,,297.462,2,1,2012
K2-268 f,,2.23,,,5106.0,0.78,0.84,,327.783,1,5,2021
K2-114 b,0.0944,10.59248676,0.079,,4899.0,0.832,0.863,-0.4437,475.758,1,1,2017
Kepler-416 c,,,,,,1.075,1.0,,690.819,1,3,2014
Kepler-650 b,,2.96,,,5849.0,1.35,1.08,,884.378,1,1,2016
HD 192263 b,0.15,,0.05,,4976.0,0.74,0.66,,19.6359,1,1,1999
HD 6434 b,0.14,,0.17,,5769.0,1.12,1.1,,42.358,1,1,2003
WASP-33 b,0.0239,17.855937,,,7430.0,1.444,1.495,,121.944,2,1,2010
Kepler-1792 b,,2.51990972,,,5229.0,1.005,0.878,,601.029,1,1,2021
K2-79 b,0.0988,4.09,0.23,181.0,5897.0,1.265,1.066,,256.011,1,1,2016
HD 155193 b,1.04,,0.21,,6239.0,,1.221,,57.7995,1,1,2021
Kepler-291 c,0.065,1.88,,,6002.0,1.016,,,1786.48,1,2,2014
TOI-2136 b,0.057,2.19,0.0,4.0,3342.0,0.34,0.34,-1.88606,33.3631,1,1,2022
K2-30 b,0.04839,11.646151,0.0,,5425.0,0.844,0.9,-0.25649,333.042,1,1,2016
K2-316 b,0.0147,1.33,,,3436.0,0.379,0.408,,112.486,1,2,2020
Kepler-354 c,0.115,1.31,,,4648.0,0.674,,,554.064,1,3,2014
CoRoT-7 d,,,,,5250.0,,0.915,,159.906,1,3,2022
Kepler-937 b,,3.72,,,6095.0,1.22,1.15,,1571.46,1,2,2016
TOI-2152 A b,0.05064,14.35870428,0.057,,6630.0,1.612,1.516,0.65321,303.006,3,1,2023
HD 29021 b,2.28,,0.459,,5560.0,0.85,0.85,,30.9939,1,1,2017
K2-185 c,,2.39,,,5788.0,0.94,0.96,,268.357,1,2,2018
TOI-1235 b,,1.69,0.049,,3997.0,0.619,0.63,-1.05404,39.6345,1,1,2020
Kepler-1613 b,,2.08,,,6005.0,1.12,1.08,,1508.33,1,1,2016
PZ Tel b,27.0,,0.52,,,,1.36,,47.0648,1,1,2023
Kepler-225 c,0.111,1.84,,,3682.0,0.48,,,561.101,1,2,2014
HD 168443 b,0.292,,0.53,,,,0.98,,39.6245,1,2,1998
HIP 81208 C b,23.04,,,,,,0.135,,147.533,3,1,2023
K2-157 b,0.00962,0.935,,6660.0,5334.0,0.86,0.89,,298.373,1,3,2018
Kepler-154 d,,3.84,,,5769.0,0.98,0.98,,915.212,1,5,2016
OGLE-2017-BLG-0604L b,4.06,,,,,,0.7,,3950.0,1,1,2020
Kepler-843 b,,2.59,,,5830.0,1.03,1.02,,1165.66,1,1,2016
Kepler-159 c,0.218,3.41,,,4625.0,0.663,,,373.744,1,2,2014
Kepler-1155 b,,2.03,,,5842.0,1.03,1.03,,1128.72,1,1,2016
HIP 114933 b,2.84,,0.21,,4823.0,5.27,1.39,1.13988,101.766,1,1,2021
Kepler-296 b,0.079,1.61,0.33,6.5,3740.0,0.48,0.498,,,2,5,2014
Kepler-1539 b,,2.7,,,5176.0,0.8,0.84,,748.326,1,1,2016
Kepler-222 d,0.18,3.69,,,5433.0,0.869,,,758.854,1,3,2014
WASP-155 b,0.043,13.45077684,0.0,771.0,5660.0,1.24,1.09,,399.63,1,1,2025
Kepler-1616 b,,1.02,,,6266.0,1.34,1.21,,1137.81,1,1,2016
HATS-25 b,0.05163,14.12334,0.176,,5715.0,1.107,0.994,0.06819,471.158,1,1,2016
Kepler-1234 b,,2.81,,,4967.0,0.76,0.8,,916.749,1,1,2016
K2-194 b,,3.64229858,,,5979.0,1.281115,1.110086,,629.51,1,1,2018
EPIC 206042996 b,,1.7,,,4114.0,0.5,,,451.769,1,2,2019
Kepler-1544 b,,1.78,,,4886.0,0.74,0.81,,335.09,1,1,2016
Kepler-338 d,0.257,3.0,,,5923.0,1.735,,,552.798,1,4,2014
Kepler-1820 b,,3.11883067,,,5841.0,0.931,1.047,,1425.39,1,1,2021
HD 10697 b,2.051,,0.104,,,,0.99,,33.1205,1,1,1999
HAT-P-9 b,0.05287,15.614137,0.084,931.0,6350.0,1.338,1.281,0.4183,455.203,1,1,2008
OGLE-2017-BLG-0448L b,5.75,,,,,,0.5,,7530.0,1,1,2024
TOI-500 b,0.01189,1.166,0.063,1138.0,4440.0,0.678,0.74,,47.3924,1,4,2022
TOI-2529 b,0.327,11.54525012,0.021,,5802.0,1.7,1.11,0.46389,296.271,1,1,2024
Kepler-294 c,0.071,2.71,,,5913.0,0.976,,,1357.01,1,2,2014
Kepler-1935 b,,2.50271696,,,5570.0,0.899,0.845,,904.702,1,1,2021
17 Sco b,1.45,,0.06,,4157.0,25.92,1.22,2.25435,124.953,1,1,2020
GJ 160.2 b,0.053,,0.06,,4347.0,,0.69,-0.79588,25.8557,1,1,2014
SWEEPS-11 b,0.03,12.666,,,,1.45,1.1,,,1,1,2006
Kepler-969 b,,2.07,,,5214.0,0.82,0.92,,390.354,1,2,2016
EPIC 249893012 d,0.22,3.94,0.15,53.0,5430.0,1.71,1.05,,321.296,1,3,2020
HD 2039 b,2.2,,0.71,,5945.0,1.19,1.23,,85.6922,1,1,2002
TOI-2589 b,0.3,12.10569916,0.522,,5579.0,1.07,0.93,-0.00436,200.273,1,1,2023
Kepler-244 d,0.14,2.31,,,5554.0,0.803,,,1036.49,1,3,2014
K2-53 b,0.098,2.6,,,5263.0,0.807,0.851,,138.018,1,1,2016
Kepler-1086 b,,2.44,,,4350.0,0.66,0.7,,466.084,2,2,2016
Kepler-1555 b,,1.61,,,5866.0,1.06,1.04,,2013.27,1,1,2016
Kepler-1473 b,,1.19,,,6046.0,1.09,1.09,,652.253,1,1,2016
Kepler-1589 b,,1.09,,,6166.0,1.25,1.18,,1513.14,1,1,2016
Kepler-272 c,0.061,1.79,,,5297.0,0.929,,,889.608,1,3,2014
TOI-6130 b,0.036,14.3474953,0.036,1150.0,6110.0,1.51,1.31,0.4609,220.882,1,1,2024
KMT-2016-BLG-2605L b,0.681,,,,,,0.064,,6421.0,1,1,2021
Kepler-1565 b,,1.19,,,4940.0,0.73,0.76,,629.93,1,1,2016
Kepler-1494 b,,3.07,,,5659.0,0.94,0.96,,1285.48,1,1,2016
GJ 876 c,0.12959,,0.25591,,,0.3,0.32,-1.90658,4.67517,1,4,2000
Kepler-1655 b,0.1029,2.213,0.19,129.1,6148.0,1.03,1.03,,213.26,1,1,2018
Kepler-555 b,,2.83,,,5894.0,1.04,1.03,,973.121,1,1,2016
Kepler-1676 b,,3.3769596,,,5878.3,1.06066,,,,1,1,2020
Kepler-640 b,,2.56,,,5653.0,0.94,1.01,,557.787,1,1,2016
Kepler-1111 b,,2.0,,,6077.0,1.15,1.1,,841.536,1,1,2016
Kepler-147 b,0.113,1.53,,,6012.0,1.468,,,1042.02,1,2,2014
NGTS-12 b,0.0757,11.747032,0.0,416.0,5690.0,1.589,1.021,,446.442,1,1,2020
K2-295 b,0.0451,10.054473,0.0,,4444.0,0.7,0.74,,232.801,1,1,2018
HD 81817 c,2.325,,0.095,,,,4.3,,269.126,1,2,2022
TOI-206 b,0.0112,1.3,,,3383.0,0.35,0.35,,47.7465,1,1,2022
Kepler-325 d,0.22,2.79,,,5752.0,1.003,,,823.242,1,3,2014
Kepler-372 d,0.201,1.69,,,6509.0,1.137,,,1493.95,1,3,2014
K2-183 c,,2.3,,,5482.0,0.87,,,329.041,1,3,2018
HD 168746 b,0.07,,0.11,,5570.0,1.09,1.07,,41.5681,1,1,2002
Qatar-2 b,0.02153,14.056,0.0,,4645.0,0.776,0.743,,181.374,1,1,2011
K2-205 b,,1.99552771,,,5890.0,1.077574,0.951027,,405.301,1,1,2018
Kepler-1861 b,,2.20677414,,,5855.0,1.373,1.161,,829.985,1,1,2021
Kepler-729 b,,3.58,,,5633.0,0.91,0.94,,1921.15,1,1,2016
Gl 49 b,0.0905,,0.363,,3805.0,0.511,0.515,-1.30645,9.8528,2,1,2019
WASP-61 b,,15.80469,0.0,,6250.0,1.55,1.82,,488.66,1,1,2012
Kepler-1296 b,,0.91,,,5359.0,0.83,0.87,,1551.54,1,1,2016
Kepler-770 d,,1.4,,,5598.0,0.92,0.94,,930.457,1,3,2016
TOI-277 b,0.0269,2.65,,,4031.0,0.362,0.16,,64.6692,1,1,2022
HD 143361 b,1.988,,0.197,,5507.0,0.916,0.968,,68.5146,1,1,2008
Kepler-184 c,0.141,1.97,,,5788.0,0.873,,,610.326,1,3,2014
Kepler-1647 b,2.7205,11.8739,0.0581,,6210.0,1.7903,1.2207,,1212.45,2,1,2016
tau Cet h,0.243,,0.23,,,,0.783,,3.60304,1,4,2017
K2-165 d,,2.64809498,,,5185.0,0.803827,0.834847,,134.591,1,3,2018
HD 158038 b,1.5,,0.29,,4860.0,4.5,1.3,,94.8625,1,1,2011
TOI-6038 A b,0.069,6.41,,716.0,6110.0,1.648,1.291,0.53275,179.147,2,1,2025
Kepler-1348 b,,1.94,,,5911.0,1.04,1.04,,1213.82,1,1,2016
Kepler-1768 b,,2.23346338,,,6050.0,1.572,1.24,,632.766,1,1,2021
Kepler-596 b,,3.46,,,6267.0,1.32,1.21,,1023.85,1,1,2016
Kepler-938 b,,2.22,,,5533.0,0.89,0.92,,1182.05,1,1,2016
Kepler-1869 c,0.028,0.74,0.0,1056.84,5808.0,0.902,0.987,,113.025,1,2,2023
Kepler-1046 b,,1.71,,,5913.0,1.04,1.04,,721.534,1,1,2016
HD 93351 c,11.154,,0.109,,,,0.94,,56.163,1,2,2022
TOI-286 c,0.213,1.88,0.0,,5152.0,0.78,0.832,-0.41364,59.2293,1,2,2024
K2-322 b,0.0594,1.92,,,4141.0,0.602,0.63,,123.415,1,1,2020
Kepler-509 b,,2.49,,,6060.0,1.2,1.1,,332.443,1,1,2016
HIP 63242 b,0.565,,0.23,,4830.0,,1.54,1.63,156.456,1,1,2013
TOI-1136 f,0.174,,0.001,,5770.0,0.968,1.022,,84.5362,1,6,2022
LHS 1815 b,,1.088,0.0,,3643.0,0.501,0.502,-1.38722,29.8424,1,1,2020
Kepler-618 b,,2.6,,,5860.0,1.08,1.05,,1221.96,1,1,2016
Kepler-723 b,,12.19,,,5539.0,0.89,0.92,,1071.8,1,1,2016
WASP-123 b,0.04263,14.773462,0.0,,5740.0,1.285,1.166,,197.996,2,1,2016
HD 207832 b,0.586,,0.197,,5726.0,0.89,1.05,-0.11,58.9291,3,2,2012
KMT-2019-BLG-1715L b,3.32,,,,,,0.61,,3860.0,1,1,2021
TOI-1136 g,0.229,,0.04,,5770.0,0.968,1.022,,84.5362,1,6,2022
K2-188 b,0.0289,1.35,,,5977.0,1.19,1.06,,446.821,1,2,2018
Kepler-354 b,0.054,1.84,,,4648.0,0.674,,,554.064,1,3,2014
GJ 676 A d,0.039,,0.192,,,,0.626,,16.0272,2,4,2012
OGLE-2013-BLG-0102L b,0.8,,,,,,0.096,,3040.0,1,1,2014
Kepler-444 f,0.0811,0.741,0.29,,5046.0,0.752,0.758,,36.4396,3,5,2015
K2-221 b,,1.67890272,,,5716.0,0.947599,1.010842,,318.81,1,1,2018
TOI-3714 b,0.027,11.32107051,0.03,54.0,3660.0,0.51,0.53,,112.71,2,1,2022
KMT-2017-BLG-1146L b,1.6,,,,,,0.33,,6500.0,1,1,2019
BD+20 2457 c,2.01,,0.18,,4137.0,49.0,2.8,3.17,1539.71,1,2,2009
Kepler-616 c,,3.41,,,5753.0,0.97,0.98,,945.775,1,3,2016
K2-111 b,0.0565,1.82,0.1,490.0,5775.0,1.25,0.84,,200.394,1,2,2017
Kepler-1991 c,0.1528,2.57,0.0,38.27,5478.0,1.053,0.914,,855.82,1,2,2023
HR 810 b,0.92,,0.14,,6167.0,1.13,1.34,,17.3181,1,1,1999
K2-280 b,0.1461,7.5,0.35,,5500.0,1.28,1.03,,391.537,1,1,2018
K2-152 b,0.1716,2.29,,,4044.0,0.61,0.63,,108.449,1,1,2018
GJ 1289 b,0.27,,0.0,,3296.0,,0.21,,8.35147,1,1,2024
K2-348 c,,2.67,,,5077.0,0.85,0.83,,201.856,1,2,2021
Kepler-341 b,0.06,1.18,,,6012.0,1.024,,,1047.03,1,4,2014
Kepler-68 c,0.09008,0.979,0.099,204.0,5847.0,1.2564,1.057,,144.166,2,4,2013
Kepler-1696 b,,2.80982017,,,5712.0,1.19811,1.02,0.13884,1506.36,1,1,2020
Kepler-682 b,,7.37,,,5559.0,0.89,0.92,,1979.25,1,1,2016
HD 202772 A b,0.05208,17.317905,0.038,3440.0,6272.0,2.591,1.72,0.97128,161.498,2,1,2019
OGLE-2013-BLG-1721L b,2.6,,,,,,0.46,,6300.0,1,1,2017
Kepler-280 c,0.056,2.01,,,5744.0,0.886,,,780.361,1,2,2014
Kepler-337 b,0.045,1.54,,,5684.0,1.761,,,677.975,1,2,2014
Kepler-719 b,,8.52,,,5777.0,0.98,0.99,,2497.51,1,1,2016
Kepler-1031 b,,0.87,,,6011.0,1.12,1.09,,682.882,1,1,2016
Kepler-1666 b,,2.88273782,,,6293.0,1.14586,1.23,0.26839,1379.37,1,2,2020
Kepler-1149 b,,1.44,,,5833.0,1.01,1.02,,1217.73,1,1,2016
Kepler-745 b,,2.16,,,5849.0,1.04,1.04,,1780.38,1,1,2016
K2-22 b,,2.3,,,3879.0,0.58,,,243.836,2,1,2015
K2-183 d,,2.3,,,5482.0,0.87,,,329.041,1,3,2018
